Medal Count,Year,Gender
151,1896,Men
501,1900,Men
11,1900,Women
458,1904,Men
12,1904,Women
789,1908,Men
15,1908,Women
855,1912,Men
30,1912,Women
1255,1920,Men
43,1920,Women
833,1924,Men
51,1924,Women
615,1928,Men
95,1928,Women
555,1932,Men
60,1932,Women
791,1936,Men
84,1936,Women
718,1948,Men
96,1948,Women
750,1952,Men
139,1952,Women
739,1956,Men
146,1956,Women
737,1960,Men
145,1960,Women
820,1964,Men
190,1964,Women
819,1968,Men
212,1968,Women
947,1972,Men
238,1972,Women
924,1976,Men
381,1976,Women
958,1980,Men
429,1980,Women
973,1984,Men
486,1984,Women
1011,1988,Men
535,1988,Women
1105,1992,Men
600,1992,Women
1082,1996,Men
777,1996,Women
1126,2000,Men
889,2000,Women
1099,2004,Men
899,2004,Women
1110,2008,Men
932,2008,Women
